,Gene1,Gene2,Count
183,SOS1,NF1,3.0
184,IFNGR1,ATF2,5.0
185,NTRK1,IL6R,14.0
186,UPB1,ANK1,7.0
187,EXOC6,ANK1,5.0
188,PDPK1,ANK1,2.0
189,SLCO4A1,KCNMB4,5.0
190,OAT,NRCAM,3.0
191,PIK3R3,BTRC,2.0
192,PRKAR2B,NF1,5.0
193,PPCDC,IRS1,3.0
194,PIK3R3,IRS1,13.0
195,STX1A,OAT,2.0
196,ITGA2,CDC16,2.0
197,OAT,BTRC,6.0
198,PRKAR2B,KRAS,11.0
199,SLC22A2,GPX4,16.0
200,SC5DL,EXOC6,23.0
201,IRS1,GAB2,1.0
202,IFNGR1,EIF2AK1,4.0
203,PPCDC,OAT,10.0
204,KCNMB4,BTRC,6.0
205,IL6R,ATF2,1.0
206,SLCO4A1,GABRB2,10.0
207,KCNMB4,ATF2,2.0
208,DDOST,CDC16,15.0
209,STAT3,SLCO2A1,6.0
210,PTK2B,NRCAM,10.0
211,STX1A,KCNMB4,7.0
212,UPB1,SLCO4A1,3.0
213,PIK3CD,GABRB2,4.0
214,EIF2AK1,ANK1,9.0
215,STX1A,PPCDC,1.0
216,PDPK1,BTRC,3.0
217,SLC22A2,IRS1,4.0
218,PTK2B,KCNMB4,5.0
219,PPCDC,IL6R,2.0
220,PDPK1,IRS1,1.0
221,KCNMB4,DDOST,7.0
222,SOS1,SLCO2A1,2.0
223,EIF2AK1,CDC16,5.0
224,NTRK1,IRS1,2.0
225,SLCO4A1,NTRK1,8.0
226,NTRK1,GABRB2,3.0
227,PDPK1,OAT,11.0
228,DDOST,ANK1,4.0
229,STAT3,BTRC,1.0
230,NF1,ITGA2,6.0
231,PIK3R3,ATF2,3.0
232,SLC22A2,PRKAR2B,5.0
233,UPB1,GABRB2,3.0
234,SLC22A2,PDPK1,12.0
235,NRCAM,KCNMB4,3.0
236,UPB1,GAB2,3.0
237,PDPK1,ATF2,2.0
238,PIK3R3,ANK1,2.0
239,PIK3R3,KCNMB4,3.0
240,SLCO2A1,DDOST,2.0
241,SC5DL,GAB2,4.0
242,STAT3,CDC16,3.0
243,SLC22A2,IFNGR1,4.0
244,PRKAR2B,NRCAM,10.0
245,SC5DL,KRAS,7.0
246,UPB1,NRCAM,5.0
247,PIK3R3,IL6R,3.0
248,SOS1,OAT,6.0
249,NTRK1,GPX4,1.0
250,UPB1,IL6R,3.0
251,SLC22A2,GAB2,5.0
252,PDPK1,DDOST,2.0
253,PIK3R3,PIK3CD,1.0
254,PPCDC,GAB2,1.0
255,EIF2AK1,BTRC,1.0
256,STAT3,ATF2,1.0
257,STAT3,PIK3CD,5.0
258,PIK3CD,NRCAM,10.0
259,STX1A,PRKAR2B,2.0
260,STAT3,GAB2,4.0
261,NF1,IL6R,1.0
262,IL6R,ANK1,10.0
263,PTK2B,GABRB2,1.0
264,IFNGR1,ANK1,2.0
265,STX1A,GAB2,2.0
266,CDC16,BTRC,2.0
267,GAB2,ATF2,4.0
268,NRCAM,NF1,1.0
269,PIK3CD,BTRC,2.0
270,SLCO4A1,GAB2,5.0
271,STX1A,GABRB2,6.0
272,NF1,GPX4,3.0
273,PIK3CD,IRS1,3.0
274,NRCAM,EXOC6,6.0
275,PTK2B,PPCDC,2.0
276,STAT3,SC5DL,3.0
277,KCNMB4,EIF2AK1,1.0
278,PPCDC,PIK3R3,1.0
279,SLCO2A1,PIK3CD,7.0
280,NRCAM,BTRC,3.0
281,ITGA2,DDOST,2.0
282,OAT,EXOC6,2.0
283,KRAS,ATF2,4.0
284,ITGA2,EIF2AK1,1.0
285,PDPK1,NRCAM,2.0
286,PIK3R3,KRAS,4.0
287,IRS1,CDC16,3.0
288,GABRB2,BTRC,1.0
289,PIK3R3,EIF2AK1,1.0
290,PIK3CD,ATF2,3.0
291,SC5DL,BTRC,1.0
292,IL6R,IFNGR1,2.0
293,NF1,IRS1,1.0
294,IL6R,GABRB2,1.0
295,STX1A,DDOST,1.0
296,PPCDC,BTRC,3.0
297,KRAS,DDOST,6.0
298,PRKAR2B,OAT,8.0
299,PDPK1,NF1,2.0
300,GPX4,EXOC6,1.0
301,SLCO4A1,NF1,1.0
302,ITGA2,IRS1,1.0
303,ITGA2,ATF2,3.0
304,UPB1,STAT3,3.0
305,STX1A,EIF2AK1,1.0
306,STX1A,CDC16,2.0
307,UPB1,ATF2,5.0
308,GAB2,EIF2AK1,2.0
309,STAT3,SOS1,1.0
310,NF1,KRAS,1.0
311,SLC22A2,BTRC,1.0
312,SLCO4A1,ATF2,1.0
313,PTK2B,OAT,2.0
314,GPX4,CDC16,1.0
315,UPB1,KRAS,1.0
316,STX1A,EXOC6,2.0
317,PPCDC,KRAS,1.0
318,PIK3CD,KCNMB4,1.0
319,UPB1,SOS1,1.0
320,SLCO2A1,PIK3R3,1.0
321,STAT3,KCNMB4,2.0
322,PRKAR2B,IFNGR1,1.0
323,PPCDC,EIF2AK1,4.0
324,SOS1,IFNGR1,3.0
325,SLCO4A1,SLC22A2,1.0
326,PDPK1,IL6R,1.0
327,SLC22A2,PTK2B,1.0
328,STX1A,IRS1,2.0
329,PIK3CD,NF1,3.0
330,GAB2,EXOC6,5.0
331,SLCO4A1,NRCAM,3.0
332,SLCO4A1,GPX4,3.0
333,IRS1,ATF2,2.0
334,BTRC,ANK1,1.0
335,KRAS,GPX4,1.0
336,GPX4,BTRC,1.0
337,PIK3R3,NRCAM,2.0
338,PPCDC,NTRK1,2.0
339,STX1A,SLCO2A1,2.0
340,UPB1,DDOST,1.0
341,SLC22A2,NF1,1.0
342,PPCDC,CDC16,3.0
343,SOS1,KRAS,1.0
344,SLCO4A1,DDOST,5.0
345,SLCO2A1,NF1,2.0
346,DDOST,ATF2,1.0
347,STAT3,SLC22A2,4.0
348,PPCDC,GABRB2,1.0
349,IRS1,EXOC6,1.0
350,UPB1,CDC16,1.0
351,EXOC6,DDOST,1.0
352,OAT,GABRB2,1.0
353,EIF2AK1,ATF2,1.0
354,NTRK1,EIF2AK1,1.0
355,CDC16,ANK1,1.0
356,PPCDC,KCNMB4,1.0
357,OAT,IFNGR1,1.0
358,NTRK1,IFNGR1,1.0
359,SLCO2A1,GAB2,2.0
360,SLC22A2,KCNMB4,1.0
361,CDC16,ATF2,1.0
362,STAT3,PDPK1,1.0
363,SLC22A2,CDC16,1.0
364,ITGA2,GABRB2,2.0
365,EXOC6,BTRC,1.0
366,SC5DL,NTRK1,1.0
367,SC5DL,ITGA2,1.0
368,UPB1,PDPK1,1.0
369,OAT,IRS1,1.0
370,PRKAR2B,IL6R,1.0
371,NRCAM,ATF2,1.0
372,KCNMB4,GAB2,1.0
373,STAT3,GABRB2,1.0
374,SLCO2A1,SC5DL,1.0
375,PRKAR2B,EIF2AK1,2.0
376,PIK3R3,IFNGR1,1.0
377,SC5DL,PTK2B,1.0
378,SLCO2A1,OAT,1.0
379,STAT3,PRKAR2B,1.0
380,PIK3R3,NF1,1.0
381,SLCO2A1,PRKAR2B,1.0
382,STX1A,ATF2,1.0
383,PPCDC,DDOST,1.0
384,KCNMB4,CDC16,1.0
385,KCNMB4,GABRB2,1.0
386,SOS1,EIF2AK1,1.0
387,PDPK1,GPX4,1.0
388,PPCDC,EXOC6,1.0
389,GABRB2,ATF2,1.0
390,UPB1,STX1A,1.0
